Redshift Table,Databricks Table
prod_mart_sales.rpt_target_account_list_snapshot,mart.sales.rpt_target_account_list_snapshot
prod_reverse_etl_amplitude.search_activation_events,reverse_etl.amplitude.search_activation_events
prod_reverse_etl_amplitude.user_activation_events,reverse_etl.amplitude.user_activation_events
prod_reverse_etl_amplitude.users,reverse_etl.amplitude.users
prod_reverse_etl_amplitude.users,reverse_etl.zendesk.users
prod_reverse_etl_amplitude.users,staging.dashboard.users
prod_reverse_etl_gainsight.current_usages,reverse_etl.gainsight.current_usages
prod_reverse_etl_gainsight.current_usages_per_account,reverse_etl.gainsight.current_usages_per_account
prod_reverse_etl_gainsight.customer_journey_per_account,reverse_etl.gainsight.customer_journey_per_account
prod_reverse_etl_gainsight.invoice,reverse_etl.gainsight.invoice
prod_reverse_etl_gainsight.invoice,standardized.common.invoice
prod_reverse_etl_gainsight.latest_daily_usages,reverse_etl.gainsight.latest_daily_usages
prod_reverse_etl_gainsight.latest_daily_usages_per_account,reverse_etl.gainsight.latest_daily_usages_per_account
prod_reverse_etl_gainsight.performances,reverse_etl.gainsight.performances
prod_reverse_etl_gainsight.performances_per_account,reverse_etl.gainsight.performances_per_account
prod_reverse_etl_gainsight.product_adoptions,reverse_etl.gainsight.product_adoptions
prod_reverse_etl_gainsight.product_adoptions_per_account,reverse_etl.gainsight.product_adoptions_per_account
prod_reverse_etl_gainsight.reverse_etl_gainsight_companies,reverse_etl.gainsight.reverse_etl_gainsight_companies
prod_reverse_etl_gainsight.support_project_hours,reverse_etl.gainsight.support_project_hours
prod_reverse_etl_marketo.leads,reverse_etl.marketo.leads
prod_reverse_etl_salesforce.applications,reverse_etl.salesforce.applications
prod_reverse_etl_salesforce.contacts,reverse_etl.salesforce.contacts
prod_reverse_etl_salesforce.dsn_location_recommendations,reverse_etl.salesforce.dsn_location_recommendations
prod_reverse_etl_salesforce.opportunities,reverse_etl.salesforce.opportunities
prod_reverse_etl_zendesk.dashboard_applications,reverse_etl.zendesk.dashboard_applications
prod_reverse_etl_zendesk.organizations,reverse_etl.zendesk.organizations
prod_reverse_etl_zendesk.users,reverse_etl.amplitude.users
prod_reverse_etl_zendesk.users,reverse_etl.zendesk.users
prod_reverse_etl_zendesk.users,staging.dashboard.users
prod_staging_bamboohr.bamboohr_employee,staging.bamboohr.bamboohr_employee
prod_staging_bamboohr.bamboohr_employee_history,staging.bamboohr.bamboohr_employee_history
prod_staging_bing_ads.bing_ads_ad_group,staging.bing_ads.bing_ads_ad_group
prod_staging_bing_ads.bing_ads_ad_performance,staging.bing_ads.bing_ads_ad_performance
prod_staging_bing_ads.bing_ads_ads,staging.bing_ads.bing_ads_ads
